Wall time,Step,Value
1610226080.3388367,1,1.8588730096817017
1610226139.3971276,2,1.6228578090667725
1610226198.225775,3,1.4563063383102417
1610226256.2296484,4,1.3592957258224487
1610226312.8532958,5,1.3041725158691406
1610226371.0436265,6,1.1822102069854736
1610226428.3609838,7,1.160178542137146
1610226485.1969063,8,1.1170847415924072
1610226541.9816647,9,0.9893239140510559
1610226598.7945805,10,0.972788393497467
1610226655.798728,11,0.8962299823760986
1610226711.9004297,12,0.946211576461792
1610226767.5899665,13,0.8853510618209839
1610226823.2030993,14,0.8063473105430603
1610226879.1953259,15,0.7747021317481995
