Wall time,Step,Value
1610316956.3226159,1,1.980575680732727
1610317017.3751497,2,1.6473925113677979
1610317077.1686811,3,1.3392304182052612
1610317137.7157671,4,1.1393117904663086
1610317198.625994,5,0.970533549785614
1610317261.103983,6,0.817931056022644
1610317322.6035628,7,0.6903921961784363
1610317383.7160385,8,0.6041741371154785
1610317443.6052551,9,0.4491565227508545
1610317504.431746,10,0.38130900263786316
1610317564.7621264,11,0.32784968614578247
1610317625.4984634,12,0.2892819344997406
1610317686.518636,13,0.25626102089881897
1610317746.7043903,14,0.19612596929073334
1610317809.216015,15,0.23271605372428894
1610317871.1719704,16,0.144911527633667
1610317934.5894973,17,0.21106405556201935
1610317997.9610567,18,0.13520602881908417
1610318060.606816,19,0.11446323990821838
1610318121.5014012,20,0.14765162765979767
1610318182.3581994,21,0.1462741196155548
1610318243.5924659,22,0.11069920659065247
1610318305.983329,23,0.0957009568810463
1610318367.5417137,24,0.11033007502555847
1610318429.38673,25,0.07674261182546616
