Wall time,Step,Value
1610227832.1573553,1,2.0938055515289307
1610227882.1573935,2,1.8902955055236816
1610227932.1315923,3,1.7138930559158325
1610227982.592565,4,1.5654423236846924
1610228031.7529905,5,1.4604436159133911
1610228080.334954,6,1.4438828229904175
1610228129.2566888,7,1.3158340454101562
1610228178.4302292,8,1.2481955289840698
1610228227.605606,9,1.2289519309997559
1610228276.861928,10,1.1597239971160889
1610228325.9890075,11,1.1183282136917114
1610228376.9706542,12,1.0970017910003662
1610228428.5070672,13,1.045238971710205
1610228479.8167126,14,0.9936367869377136
1610228528.8149173,15,0.9836599230766296
