Wall time,Step,Value
1610226080.3389091,1,0.4258720874786377
1610226139.397201,2,0.49418604373931885
1610226198.2258372,3,0.5508720874786377
1610226256.2297082,4,0.5610465407371521
1610226312.853364,5,0.5726743936538696
1610226371.043693,6,0.6308139562606812
1610226428.3610504,7,0.625
1610226485.1969686,8,0.6235465407371521
1610226541.9817262,9,0.7063953280448914
1610226598.7946382,10,0.7281976938247681
1610226655.7987888,11,0.7601743936538696
1610226711.9004908,12,0.6904069781303406
1610226767.590028,13,0.7281976938247681
1610226823.2031605,14,0.7892441749572754
1610226879.1953936,15,0.8008720874786377
