Wall time,Step,Value
1610229821.9926145,1,1.988243579864502
1610229872.752736,2,1.7352904081344604
1610229923.3304336,3,1.5394433736801147
1610229972.1916487,4,1.3645849227905273
1610230021.3758857,5,1.236014485359192
1610230069.5217528,6,1.1126127243041992
1610230119.3964658,7,1.1217700242996216
1610230168.5323682,8,0.9592155814170837
1610230218.2161143,9,0.8707040548324585
1610230267.2821608,10,0.7890715003013611
1610230316.5270972,11,0.74824059009552
1610230367.0510387,12,0.692358672618866
1610230416.3709593,13,0.6987159848213196
1610230465.3006492,14,0.600712776184082
1610230514.6694298,15,0.564721941947937
