Wall time,Step,Value
1610295304.7553618,1,0.10901162773370743
1610295365.3663025,2,0.15406976640224457
1610295426.1358135,3,0.17005814611911774
1610295486.4566815,4,0.20639534294605255
1610295546.8392048,5,0.2005814015865326
1610295608.7331603,6,0.22238372266292572
1610295669.163849,7,0.26598837971687317
1610295729.4207487,8,0.26598837971687317
1610295789.834308,9,0.2761628031730652
1610295850.3241522,10,0.2877906858921051
1610295913.8317065,11,0.3270348906517029
1610295976.1591651,12,0.3139534890651703
1610296038.0326743,13,0.32848837971687317
1610296102.3744366,14,0.3502906858921051
1610296165.8431,15,0.3764534890651703
