Wall time,Step,Value
1610295304.755268,1,2.2918765544891357
1610295365.3662107,2,2.2643728256225586
1610295426.1357508,3,2.232663154602051
1610295486.4566202,4,2.2044646739959717
1610295546.8391426,5,2.1932008266448975
1610295608.733085,6,2.168269157409668
1610295669.1637874,7,2.1576790809631348
1610295729.4206808,8,2.13714861869812
1610295789.8342438,9,2.115269184112549
1610295850.3240879,10,2.099184989929199
1610295913.8316455,11,2.082166910171509
1610295976.159041,12,2.0655813217163086
1610296038.0326123,13,2.0380568504333496
1610296102.3743584,14,2.029989242553711
1610296165.84304,15,2.0017476081848145
