Wall time,Step,Value
1610294278.354363,1,0.23546510934829712
1610294338.7531655,2,0.3488371968269348
1610294399.0049965,3,0.385174423456192
1610294459.2626948,4,0.4389534890651703
1610294519.4586124,5,0.4593023359775543
1610294579.1009145,6,0.4970930218696594
1610294638.3501663,7,0.5537790656089783
1610294697.5136719,8,0.5784883499145508
1610294756.4701033,9,0.5988371968269348
1610294815.4241912,10,0.6235465407371521
1610294874.4331918,11,0.6468023061752319
1610294933.228024,12,0.6627907156944275
1610294992.3161457,13,0.6976743936538696
1610295051.212365,14,0.7165697813034058
1610295111.730588,15,0.7558139562606812
