Wall time,Step,Value
1610294278.3542986,1,2.1614043712615967
1610294338.7530994,2,2.002335786819458
1610294399.0049322,3,1.8517178297042847
1610294459.2626286,4,1.707950472831726
1610294519.45855,5,1.5857776403427124
1610294579.1008542,6,1.4730784893035889
1610294638.3501008,7,1.3908848762512207
1610294697.5136054,8,1.3056377172470093
1610294756.4700415,9,1.2178471088409424
1610294815.4241312,10,1.1557270288467407
1610294874.4330983,11,1.0781588554382324
1610294933.2279627,12,1.018292784690857
1610294992.316085,13,0.9423286318778992
1610295051.2123003,14,0.8885220289230347
1610295111.7305272,15,0.8053265810012817
