Wall time,Step,Value
1610293103.806172,1,3.1913998126983643
1610293164.3699427,2,1.6999924182891846
1610293224.789656,3,1.4656230211257935
1610293285.6363575,4,1.325439453125
1610293346.1373835,5,1.1471866369247437
1610293406.8383045,6,1.1441775560379028
1610293466.0341492,7,0.9540190100669861
1610293525.310118,8,0.8431128263473511
1610293584.5666244,9,0.7475081086158752
1610293644.1789443,10,0.6890058517456055
1610293703.8799887,11,0.5485156178474426
1610293763.2554889,12,0.9406052231788635
1610293822.5833895,13,0.4406414330005646
1610293881.7255745,14,0.6187363862991333
1610293940.8020372,15,0.5087749361991882
