Wall time,Step,Value
1610291624.8592324,1,0.13953489065170288
1610291685.9613078,2,0.4127906858921051
1610291746.3780205,3,0.43313953280448914
1610291806.6156046,4,0.5218023061752319
1610291866.5301018,5,0.604651153087616
1610291926.4610693,6,0.6569767594337463
1610291985.3912642,7,0.694767415523529
1610292044.6938202,8,0.6889534592628479
1610292103.6683772,9,0.7456395626068115
1610292162.945983,10,0.7688953280448914
1610292221.8975306,11,0.7674418687820435
1610292281.450211,12,0.7659883499145508
1610292340.8700287,13,0.7020348906517029
1610292400.1467452,14,0.8168604373931885
1610292459.4053402,15,0.7790697813034058
