Wall time,Step,Value
1610291624.8591628,1,15.103321075439453
1610291685.96124,2,1.6785552501678467
1610291746.3779519,3,1.6690008640289307
1610291806.6155438,4,1.47191321849823
1610291866.530039,5,1.1693356037139893
1610291926.4610088,6,1.020808219909668
1610291985.3912036,7,0.874825656414032
1610292044.6937575,8,0.9025793075561523
1610292103.6683137,9,0.7381424307823181
1610292162.945921,10,0.6877261996269226
1610292221.8974595,11,0.7058690786361694
1610292281.450138,12,0.7067791819572449
1610292340.8699615,13,0.8369942903518677
1610292400.1466844,14,0.543451726436615
1610292459.405279,15,0.6359670758247375
